Id,airline_sentiment,airline,text,retweet_count,user_timezone
889,negative,United,@united hi.I am still waiting for the refund. This is ridiculous.Or u approve my tickets or u give me a refund.Please advise wht is going on,0,
7735,positive,Delta,"@JetBlue I flew to San Francisco from Fort Lauderdale with you last year, had a fantastic time so would like to go back !",0,
6206,positive,Virgin America,@VirginAmerica Just bought tix for ATX - Dallas route - thanks for adding that! Love yr airline &amp; yr website is BEST transactional site EVER,0,Central Time (US & Canada)
7845,positive,Delta,"@JetBlue tough choices but I did all simultaneously! As a business traveler, best experience in a long time. #wishmyflightwaslonger #what",0,Pacific Time (US & Canada)
432,negative,American,@AmericanAir a confirmed flight. I'm so done! Thanks for nothing!,0,Alaska
7461,positive,Delta,@JetBlue thanks for making my trip home #MintyFresh next #brandmance flight I'll take more selfies! #LOVE #travel #business,0,Eastern Time (US & Canada)
6536,positive,United,@united thanks for more timely updates.,0,Central Time (US & Canada)
7417,positive,Delta,@JetBlue 2324 from Orlando to Dca ! And my awesome flight attendant is Robert!,0,
1886,negative,US Airways,"@USAirways @AmericanAir at 9:05am after the plane left: ""why were there no agents and why were the doors closed so early?""",0,
2531,negative,United,@united I would like a supervisor to talk to. Now we are waiting for a flight attendant as one just walked off &amp; left http://t.co/IpaamZT7Z2,0,Hawaii
1786,negative,Southwest,@SouthwestAir My wife needs help. She is stranded in Chicago and can't get out until Monday. They won't find her bag because volume too high,0,Eastern Time (US & Canada)
6566,positive,United,@united alright thank you. Much appreciated.,0,
8069,positive,US Airways,@USAirways thanks so much!,0,
2069,negative,United,@united it's messed up to refuse to wait 10 min after united is at fault for delay but to leave early is absolutely disgusting.,0,
880,negative,United,@united do you guys have any working planes?,0,Eastern Time (US & Canada)
2883,negative,Delta,@JetBlue ’s Marty St. George really has zero clue. How does he still have a job? #nobaggagefees http://t.co/tjDzaMHPEw,0,Pacific Time (US & Canada)
2554,negative,United,@united why don't you ever print my known #traveler number on my ticket? Because of this I never get to use the #TSA prescreen I paid for,0,Pacific Time (US & Canada)
2275,negative,Southwest,@SouthwestAir Since when did it become ok for a passenger to save 3 rows of seats for people with a Late Flightr boarding position?how rude!,0,
1706,negative,Southwest,"@SouthwestAir used to exclusively fly SW, but Late Flightly, direct flights &amp; cheaper costs have me switched. 😔 why...so... few...direct...flights?",0,Eastern Time (US & Canada)
1158,negative,United,@united I interviewed yesterday as a flight attendant I was the last person the recruiter said they lost my file n came back to interview me,0,
6675,positive,United,@united Thanks - it's very helpful to understand that the reduced price seats that are sold at check-in have priority over the certificates.,0,Pacific Time (US & Canada)
6985,positive,Southwest,@SouthwestAir thanks for the ride to Chicago. #kmdw #b738 http://t.co/6cpYPGFnD6,0,
8453,positive,American,@AmericanAir Thank you.....you do the same!!,0,Indiana (East)
2966,negative,Southwest,@SouthwestAir on brd now.frustrated we go 2 #BUF not #ROC.if tld flt was gng 2b held earlier would not be a mess.cng bk unable due to overbk,2,Quito
1782,negative,American,@AmericanAir =UNAmerican Airlines just lies and poor customer services...,0,Mountain Time (US & Canada)
2855,negative,United,"@united @bobwesson fair enough United. everybody is doing the best they can. Although that ""slight delay"" is turning into a Cancelled Flightlation.",0,
904,negative,American,@AmericanAir none of your sample itineraries can actually be booked http://t.co/mF7rABGn8a Every last leg back to US says invalid,0,Quito
8172,positive,American,@AmericanAir @Clarkey_19 we done it with 1 truck... No biggie 😄,0,London
6560,positive,United,@united #FirstClass to #London on my way to #LondonFashionWeek #LFW15 👠🇬🇧👠🇬🇧👠🇬🇧,0,Central Time (US & Canada)
2080,negative,Southwest,@SouthwestAir yep. 99.99999999% certain it was on that flight.,0,Eastern Time (US & Canada)
1565,negative,American,@AmericanAir why are @USAirways gold forced to pay for an upgrade? Open seats in 1st and not offered to Gold/Sapphire,0,Eastern Time (US & Canada)
7669,positive,Delta,@JetBlue thanks for your help! #jetbluesofly,0,
1113,negative,Delta,"@JetBlue you stood me up last night, but I'm giving you a second chance. I'm just a boy, tweeting an airline, asking them to fly him home.",0,Eastern Time (US & Canada)
7736,positive,Delta,"@JetBlue My #FlyingItForward affects just one small family of four, but it would make a huge difference in their life.",0,Eastern Time (US & Canada)
254,negative,United,@united so this did not work out at all!! Incredibly unfriendly ground staff and false promises over Twitter @theairhelper,0,Pacific Time (US & Canada)
2650,negative,US Airways,@USAirways I've been on hold for 90 minutes. This is terrible customer service. You messed up my reservation! http://t.co/oyLgeao7Y8,0,Eastern Time (US & Canada)
2887,negative,United,"@united I am. Who knows where my bags are. Do I just wait around and hope they arrive? No one has answers, I have plans and no answers....",0,
7065,positive,Southwest,"@SouthwestAir appreciate the reply, hopefully those LAX agents get the memo. Cheers!",0,Pacific Time (US & Canada)
303,negative,United,@united it's my 21st birthday and my sister is coming to celebrate but her flights keep Cancelled Flighting PLZ do all you can to get her here!!!!,0,Quito
2516,negative,Southwest,@SouthwestAir Gate agent gave me wrong departure info and caused me to miss my flight and now I am on stand by! #NotHappy,0,Eastern Time (US & Canada)
1436,negative,American,@AmericanAir My flight to @dfwairport was Cancelled Flightled. Mess ensued. Please thank the awesome Marcos (Concierge Key @ GRU) for sorting it out!,0,Brasilia
2391,negative,US Airways,@USAirways and I can't get through on any phones,0,Eastern Time (US & Canada)
6191,positive,Virgin America,@VirginAmerica @SSal thanks!,0,Eastern Time (US & Canada)
376,negative,American,@AmericanAir when the pilot announces that the plane has been unused for 2 days and maintenance is dealing with another aircraft..,0,Eastern Time (US & Canada)
1869,negative,United,@united leadership counts. landed at 11:15 last night-deplaned at 12:40. 45 minutes of that was waiting for the jetway. Inexcusable,0,
7645,positive,Delta,@JetBlue in the sky on flight 833 from BOS to SFO. Awesome crew! Helene rocks!,0,
2483,negative,US Airways,@USAirways - who do I call to use credit fm. prev. cxl tix that can't be rebooked online?Rep I called quoted me $1k higher than the website.,0,Eastern Time (US & Canada)
7198,positive,Southwest,@southwestair#SWADiversity We are ready to be inspired! http://t.co/S3EsW5AgUm,0,
1658,negative,United,@united very disappointed in CC. Purchased ticket online w/ voucher and charge full amnt. Would not hold price after refund. Unacceptable,0,
755,negative,American,"@AmericanAir way to ruin a vacation, my brother has called all night and had multiple places in line only to get dead air on call back",0,Pacific Time (US & Canada)
290,negative,United,"@united yes in Lusaka, Zambia. My guess is the bags never made the plane at IAD.",0,Eastern Time (US & Canada)
8221,positive,American,@AmericanAir excellent!  Love you guys!  If it is first class I'll hug ya'll!  See you shortly!,0,Central Time (US & Canada)
6961,positive,Southwest,@SouthwestAir Thank u Thank u Thank u for coming through for us! I sincerely didn't think it would happen. &lt;3 #SWA #THANKYOU,0,Pacific Time (US & Canada)
2118,negative,US Airways,@USAirways I have been rebooked but It has been handled very unprofessionally. Cancelled Flightations happen but the disorganization is uncalled for.,0,Eastern Time (US & Canada)
501,negative,American,@AmericanAir Worst airline ever. We have been stranded for 24 hours because of your 7 hour delay with flight 104 last night.,0,Amsterdam
1539,negative,American,@AmericanAir @nrosenb1 it says changes can't be made online,0,
7028,positive,Southwest,@SouthwestAir SEA to DEN. South Sound Volleyball team on its way! http://t.co/tN5cXCld6M,0,Pacific Time (US & Canada)
6729,positive,United,@united looks like I'm settled in to where I'm going.  Thx.,0,
672,negative,American,"@AmericanAir AA2334 Second week in a row delayed, due to mechanical issues. All the sleet outside and yet we're stuck changing a tire",0,
8343,positive,American,@AmericanAir Will do. Appreciate the replies though.,0,Central Time (US & Canada)
6796,positive,Southwest,@SouthwestAir thank you :),0,Eastern Time (US & Canada)
1464,negative,American,@AmericanAir - cluster continues-still on connecting instead of direct..bag charged and seats not together. #shafted,0,
6832,positive,Southwest,@SouthwestAir another great trip! LAX 823 - LAS 3075-  BNA. Thanks so much!!!,0,Central Time (US & Canada)
1192,negative,Delta,@JetBlue is it your standard protocol to call security onto a plane for a crying baby?,0,Eastern Time (US & Canada)
2375,negative,United,"@united really, fill out a form about my flight experience? I sent an email to the 1K email address.",0,
2264,negative,American,@AmericanAir this has to be the absolute WORST EXPERIENCE EVER!,0,
421,negative,United,@united still waiting 4 our bags. Web STILL can't tell me its location . How come @UPS @FedEx can tell u at any given minute where it is?,0,Eastern Time (US & Canada)
505,negative,US Airways,@USAirways nervous for flight tomrw out of key west not friendly customer service,0,
6415,positive,United,@united thanks for leaving our 3 year old in his own row flight 360 LAX-IAD,0,Eastern Time (US & Canada)
1582,negative,US Airways,@USAirways travel agency said that if usairways accept we will refund money i dont understand why dont u refund,0,
506,negative,United,@United DO NOT FLY UNITED WITH CHECKED BAGGAGE! It will never find you!,0,Eastern Time (US & Canada)
7189,positive,Southwest,@SouthwestAir @karajusto OK we will! Thank you!!!,0,Eastern Time (US & Canada)
7054,positive,Southwest,@SouthwestAir when are you releasing your flights for September? Just found out you fly direct lbb to las! So excited! #tripofalifetime,0,
2126,negative,United,"@united also during the run I was instructed to do, I shattered my computer. http://t.co/oAflfr7WXB",0,Eastern Time (US & Canada)
2663,negative,Delta,@JetBlue can't change it. True blue points and I can't get to a phone,0,Atlantic Time (Canada)
347,negative,American,"@AmericanAir Lots of upset people, freezing terminal, and no gate agent. Kept us waiting on plane beyond allowable time length.",0,Eastern Time (US & Canada)
7687,positive,Delta,@JetBlue great flight and crew! Flight 51 from BOS to MCO,0,Eastern Time (US & Canada)
7611,positive,Delta,@JetBlue thank you for always have the most amazing customer service! Bring on The Disney Princess Half Marathon,0,
6725,positive,United,@united thank you! 😊,0,London
8157,positive,American,@AmericanAir Hopefully you ll see bad ones as opportunity to get better and not dwell in it... and the good ones as encouragement words!,0,Eastern Time (US & Canada)
312,negative,United,@united Flight 512 had sime of the rudest flight attendants. I was run over by the drink card and had a flashlight dropped on me. #noapology,0,
746,negative,US Airways,@USAirways can you please help me find my luggage since you're the one who lost it? Your customer service SUCKS.,0,Central Time (US & Canada)
6762,positive,Southwest,@SouthwestAir ok thank you  i hope  so too,0,America/Los_Angeles
2024,negative,United,"@united how can you not know, after two hours of us sitting on the plane with no bags off loaded, the planes weight?!",0,
6176,positive,Virgin America,@VirginAmerica thanks for gate checking my baggage on your full flight dfw-lax 883 and giving me early boarding too #sweet,1,Pacific Time (US & Canada)
7157,positive,Southwest,@SouthwestAir - Great flight from Phoenix to Dallas tonight!Great service and ON TIME! Makes @timieyancey very happy! http://t.co/TkVCMhbPim,0,
7566,positive,Delta,@JetBlue thanks! I'll do it.,0,Eastern Time (US & Canada)
259,negative,United,"@united, fuck you and your closed premier access lines at ORD. Probably gonna miss my flight...Start treating your customers better.",0,Central Time (US & Canada)
7379,positive,Delta,"@JetBlue wow, keeping up with the times...",0,
380,negative,United,@united 45+ min at EWR baggage claim #stillnobags #ridiculous,0,
1912,negative,American,"@AmericanAir stranded for 24 hours in MIA, Patrick casimir has been the ONLY AA staff to apologize for the great inconvenience #unreal",0,Atlantic Time (Canada)
7367,positive,Delta,@JetBlue: So excited to hear about your move towards international travel from Long Beach Airport!,0,Pacific Time (US & Canada)
599,negative,United,"@united yes I have and I was calling in regards to speaking to someone about it even further, but unfortunately i was just bounced around.",0,Eastern Time (US & Canada)
45,negative,American,@AmericanAir you really need some customer service training for your unhappy EEs in the morning in Chicago. Gate K20 at 430 chking her schd,0,
1444,negative,United,"@united nice your app says US 4972 delayed by weather.  Pilot says waiting on fuel.  One in ur control, one not",0,
1652,negative,US Airways,"@USAirways disappointed with your toll free number. Terrible customer service, my flight has been Cancelled Flightled would like to get home",0,Atlantic Time (Canada)
7039,positive,Southwest,@SouthwestAir Thank You. We'll be in touch! #MoveAboutTheCountry,0,Eastern Time (US & Canada)
1893,negative,United,@united Thanks but why did this occur? You guys had 3 hours extra to get my bag on due to your delay. So that's 7 hours you had. #fail!,0,London
7776,positive,Delta,.@JetBlue 4 min response time. I'm impressed! I'm in. It's official.  :-) #trueblue  JetBlue gets social.,0,Eastern Time (US & Canada)
8262,positive,American,"Still thinking, those PJs may have me sold @AmericanAir @momsgoodeats We'd #love to have you on board with us! @MandarinJourney here I come",0,Central Time (US & Canada)
2812,negative,American,@AmericanAir Thank you for the acknowledgement. The IFE didn't work all that well anyway so maybe time to upgrade to lower profile system.,0,Arizona
1966,negative,American,"@AmericanAir obviously we did see an agent-booked us for tomorrow morning. No hotel, no transportation. #pregnantwithtwins #stranded #angry",0,Central Time (US & Canada)
6515,positive,United,@united free booze for the Bach party would make it better!  ORD--&gt;MSY #Delayed #Again   We will enjoy either way.  Thanks!,0,Central Time (US & Canada)
1600,negative,United,"@united rebooked 24 hours after original flight, to say your handling of situation was bad would be an understatement.",0,Central Time (US & Canada)
7548,positive,Delta,@JetBlue mission accomplished: gave @paulgordonbrown  a hug http://t.co/LT1pYKfvRq,0,Eastern Time (US & Canada)
8171,positive,American,@AmericanAir - keeping AA up in the Air! My crew chief cousin Alex Espinosa in DFW! http://t.co/0HXLNvZknP,0,Central Time (US & Canada)
426,negative,Southwest,@SouthwestAir What's up with the new in-flight WiFi service? Super crappy user experience. Miss the old provider. :(,0,Arizona
410,negative,American,@AmericanAir that's unacceptable,0,
8312,positive,American,@AmericanAir SFO. Natt (the agent who helped me) really did an awesome job.,0,Central Time (US & Canada)
7711,positive,Delta,@JetBlue haha thanks Jetblue👌☺️,0,Eastern Time (US & Canada)
6277,positive,United,@united thanx so much. You followed through and emailed me a $1000 ticket voucher. #unitedairlines they do care,0,New Delhi
210,negative,United,"Thanks @united, great news that u won't refund tickets due to a bad exchange rate. I knew u would come to your senses @gg8929 @UnitedAppeals",1,
7510,positive,Delta,@JetBlue thanks so much. Can't wait to fly with you guys :),0,Quito
1049,negative,United,“@united: @leigh_emery We don't like to hear this. Is there anything we can help with? Thanks. ^EY” another empty offer for help.,1,Eastern Time (US & Canada)
7507,positive,Delta,@JetBlue thanks for bringing my son home to me.,0,Mid-Atlantic
6263,positive,United,@united for the record- Rozana at Newark was lovely and helpful. #choosekind,0,
1972,negative,American,@AmericanAir why is there only one checkpoint open at JFK terminal 8? Ridiculous.,0,Pacific Time (US & Canada)
2860,negative,American,@AmericanAir why Cancelled Flight #1605 on 6/25 &amp; 6/28? Flights now 4 hrs longer &amp;  have layovers. Too Late Flight to find a reasonably priced alternative.,0,Eastern Time (US & Canada)
1499,negative,Delta,@jetblue waiting for flt 105 to Chicago. Why hasn't aircraft left buffalo yet?,0,
1109,negative,Delta,@JetBlue we've been on the runway for over an hour. Now the water pressure is low and taxiing back for maintenance. #1572,0,
7647,positive,Delta,@NinaDavuluri We think it's a treat to have you onboard! Enjoy your flight. 💙,3,Eastern Time (US & Canada)
652,negative,American,@AmericanAir I've called that and they said they can't help me and it's out of their hands. I really feel like an under appreciated customer,0,Quito
6142,positive,Virgin America,Always have it together!!! You're welcome! RT @VirginAmerica: @jessicajaymes You're so welcome.,2,Pacific Time (US & Canada)
7393,positive,Delta,@JetBlue I have a little more time then that..lol. Well actually a lot more. 36 days more. But I'm just excited!!,0,
1795,negative,US Airways,"@USAirways @Sb5551 Um, WE knew this storm was coming, ? Is why didn't USeless Air?  Staff accordingly u idiots!",0,Atlantic Time (Canada)
1702,negative,US Airways,@USAirways I don't think I've ever had a us airways flight that went smoothly.,0,
7756,positive,Delta,@JetBlue The Magic eight ball has never steered me wrong  :),0,Eastern Time (US & Canada)
6421,positive,United,@united thank you for flying me out of the mess at IAD and out to San Diego. http://t.co/tlPBaupIk5,0,Eastern Time (US & Canada)
1498,negative,US Airways,@USAirways Decided to be a good sport and give you guys another shot. Flight delayed. Again.,0,Atlantic Time (Canada)
2178,negative,American,@AmericanAir ahhhh your silence is golden now.  This tops it all.  Anyone get fired?,0,
6682,positive,United,"@united Thanks for explanation. It seems like an odd incentive structure, tho, because it dramatically diminishes the value of the certs.",0,Pacific Time (US & Canada)
6934,positive,Southwest,@SouthwestAir male flight attendant on flight 3913 from Orlando to Indy was AMAZING! He needs a raise 👍 Had the best experience with him,0,Central Time (US & Canada)
2945,negative,United,@united My contact stuff is in the bag and I'm legally blind. This is so messed up.,0,Eastern Time (US & Canada)
705,negative,United,@united There is no excuse for leaving a minor to spend the night sobbing (9 hours) in a plastic chair. UA's actions? Terrible. # united,0,
1872,negative,United,@united here is the ticket # 0162424965446 please refund my unnecessary upgrade fee,0,Eastern Time (US & Canada)
7937,positive,US Airways,@USAirways On re-accommodation number Lisa (Liza?) in Raleigh was very helpful,0,Eastern Time (US & Canada)
7699,positive,Delta,@JetBlue TA off site at #thelodge. Should be a fun day. @YeniettElswood @AndrewBiga @CodyCleverly @HeidiMacey @motherpollock,0,
8257,positive,American,@AmericanAir thanks,0,
565,negative,United,@united Still waiting on our bag! Never got delivered yesterday. Can't reach a real person for help. Sending DM with ref number.,0,Eastern Time (US & Canada)
2726,negative,American,@AmericanAir unable to access the website.  Will try again.,0,
7564,positive,Delta,@JetBlue of course !!!!,0,Quito
640,negative,United,@united wanted to point out that not one United crew has been sympathetic. Questions unanswered. MileagePlus is starting to look like a joke,0,Pacific Time (US & Canada)
8238,positive,American,@AmericanAir Thanks!,0,Hawaii
2751,negative,Southwest,"@SouthwestAir, real sincere apology! Makes my day! Glad to know flying mail is more important than me. Never flying SW again! #badservice",1,
1964,negative,American,"@AmericanAir can lie to you about where your lost bag is, but we are suppose to trust them with our lives thousands of feet in the air...",0,Quito
325,negative,US Airways,"@USAirways My wife, sick 3yr-old-twins, and I have been waiting in line now for 2hrs to see an agent! Phone agent said nothing til Tuesday!",1,
8150,positive,American,Just got off the phone @AmericanAir customer service. Only 8 minutes to get my issue resoled. You guys are awesome.,0,
2338,negative,US Airways,@USAirways I didn't take my original flight. I was suppose to arrive last night than by 2:00pm today. Didn't get in til 5,0,
7003,positive,Southwest,@SouthwestAir I'm on the 10:55 flight! Everyone has been so nice and helpful! I'm just hoping we'll get to fly out! Thank you! ;),0,Central Time (US & Canada)
6268,positive,United,"@united thanks, just sent :)",0,Eastern Time (US & Canada)
2237,negative,US Airways,@USAirways  will be stuck in PHX overnight.  Service is getting worse.  Flying southwest from now on.,0,
8168,positive,American,@AmericanAir thanks so much!,0,Mountain Time (US & Canada)
2825,negative,Delta,"@JetBlue Yes, I filed yesterday around noon. I have a claim number but they haven't contacted me yet.",0,Hawaii
864,negative,Southwest,@SouthwestAir right? We're delayed so I'm crabby. :) Also why do you allow one family member to purchase EarlyBird check in and hold rows?,0,Pacific Time (US & Canada)
7370,positive,Delta,"@JetBlue loved the service from the staff at Newark today. 

Good service goes along way.

I appreciate your preciation  

Nj ✈️Tampa 

🔵🔵🔵",0,Quito
7718,positive,Delta,"@JetBlue btw, her name was Samantha and she won over everyone on the flight",0,Eastern Time (US & Canada)
371,negative,United,"@united Direct Messaged you, didn't hear anything back",0,Pacific Time (US & Canada)
2802,negative,American,@AmericanAir Or u cud answer my ? here! 140 is plenty. Inflight stealing going on right now &amp; FA won't have the uncomfortable convo w pass.,0,
7000,positive,Southwest,@SouthwestAir I'll have to drop by next time I visit!,0,
7753,positive,Delta,"@JetBlue also. Emergency exit seats. 6'2"" and that's a huge win.",0,Pacific Time (US & Canada)
6170,positive,Virgin America,@VirginAmerica Thanks for your great customer service today &amp; for helping me get all my travel sorted out!,0,Pacific Time (US & Canada)
6531,positive,United,@united since when did you get so good again!  4 transcontinental flights in 72h.  What a pleasure/relief you were.,0,
8276,positive,American,@AmericanAir Was not on board you today just watched report unfold on Twitter but still am very proud!,0,London
1360,negative,Southwest,@SouthwestAir Having some trouble checking in. Can you please add me so I can DM you,0,Pacific Time (US & Canada)
911,negative,US Airways,@USAirways @AmericanAir won't even refund for a flight they Cancelled Flightled #horriblecustomerservice,0,
8355,positive,American,@AmericanAir would also like say kind move on adding the points !,0,
2651,negative,Delta,@JetBlue Is today's JetBlue Flight 918 (NYC-&gt;BOS) delayed? My app says on time and the website says it's not...,0,Eastern Time (US & Canada)
964,negative,United,"@united +what took me aback was the response by the flight attendant, who put the responsibility squarely back on passenger's shoulders. +",0,Pacific Time (US & Canada)
1423,negative,US Airways,"@USAirways It says to call. Before connecting, get song, dance about weather. Weather bad 3 days? Called for 2 days before. #wasteoftime",0,
122,negative,US Airways,@USAirways Been stuck for 40+ minutes due to lavatory issues. No beverages. No snacks. No customer service. Flt 645 to PHO... #fail #refund,0,Quito
479,negative,American,@AmericanAir the one at 11:30am? My app still shows it as on time!,0,
662,negative,American,"@AmericanAir the communications seems to be an issue too, no?",0,Eastern Time (US & Canada)
2995,negative,United,@united seriously #fail on making strangers share a room,0,Eastern Time (US & Canada)
2569,negative,United,@united I take back the comment about your team here working hard to help us A so far no solution for a hotel or food or anything #fail,0,Eastern Time (US & Canada)
7209,positive,Southwest,@SouthwestAir @love_dragonss holy fuckinf shit,0,Eastern Time (US & Canada)
439,negative,US Airways,@USAirways this is crazy. Haven't spoken to a human yet. There has to be a better way. http://t.co/mEOAlCIPdD,0,Eastern Time (US & Canada)
1379,negative,US Airways,@USAirways thx for taking my $600 for a 1way then Cancelled Flightling 1st flt delay 2nd flt and u top it off by losing my one piece of luggage #usuck,0,Central Time (US & Canada)
1443,negative,US Airways,@USAirways how does that help me when I get no response from there??? #usairwayssucks,0,
8279,positive,American,@AmericanAir Thanks to AA for the upgrade today and getting me on a new flight after my first one was Cancelled Flightled!,0,Central Time (US & Canada)
7441,positive,Delta,@JetBlue thanks for the response. We are hopeful.,0,Atlantic Time (Canada)
1477,negative,American,@americanair flight veers off icy runway at @dfwairport. Most DFW flights Cancelled Flighted Mon http://t.co/Q37pOWn6uv @Cowboycerrone figures right?,0,Arizona
7338,positive,Delta,@JetBlue sounds great! Thank you!! :),0,Quito
1173,negative,Delta,"@JetBlue Been dealing with a Cancelled Flightled flight since last night &amp; was booked to a 6:15 flight,wouldve at least liked to see Ella perform lol",0,Hawaii
2778,negative,United,"@united thanks for delaying my flight for an hour, and then boarding us onto a flight that REEKS of vomit because it wasn't cleaned properly",1,Mountain Time (US & Canada)
7397,positive,Delta,@JetBlue Hopefully now my application for JetBlue donut designer will finally go through the proper channels.,0,Eastern Time (US & Canada)
6974,positive,Southwest,"@SouthwestAir Thanks 4 the great service, staff, letting me change my flight 5 times for free! PVD to the skies for me always on SWA!",0,Eastern Time (US & Canada)
279,negative,United,@united website says my flight is on time. It leaves in 15 min and nobody has boarded yet. #pathetic #needtobehonest,1,Pacific Time (US & Canada)
1101,negative,US Airways,@usairways @usair   idiots took our plane &amp; gave it to someone else. Fudgers!!!! Flight 799 from Philly to Orlando,0,Atlantic Time (Canada)
568,negative,United,@united maybe one day you'll be the one quoted on http://t.co/mJkpgVXmPC,0,
1694,negative,Delta,"@JetBlue - I did, but since I was stranded in SYR without a ride I missed the window of opportunity to have rights in this matter. (4 hours)",0,Atlantic Time (Canada)
6543,positive,United,@united a big thanks to ^MN and ^KN or patiently clarifying the United domestic world to me.,0,Berlin
7531,positive,Delta,@JetBlue you can't beat jetblue in space's matter http://t.co/NRpWmGyv3e,0,
7472,positive,Delta,@JetBlue thanks for the info. Already doing it now before we board! Looking forward to the future upgrades! #JetBlue http://t.co/5Db9eSBNzG,0,Eastern Time (US & Canada)
2517,negative,United,@united quality work going on here. http://t.co/9xbO5daKaK,0,Central Time (US & Canada)
577,negative,United,"@united God damn fucking crew won't be here till 6:40, so you've known for over an hour and a half the flight time was bullshit.",0,
59,negative,Southwest,@SouthwestAir why do you charge so much moving from a full flight to an earlier flight with seats available?  doesn't make sense to me.,0,Eastern Time (US & Canada)
787,negative,US Airways,@USAirways that's it?!?!?,0,Quito
2954,negative,United,@united if I wait I'll lose the flight. So frustrating.,1,Central Time (US & Canada)
7360,positive,Delta,@JetBlue Gotcha... thanks for the update. I'm ready to go whenever you are :) Enjoy your evening.,0,Eastern Time (US & Canada)
2646,negative,United,@united how can you not know the weight of our plane after us sitting on the plane for 2.5 hrs? Not convinced your company is safe for flt.,1,Pacific Time (US & Canada)
6964,positive,Southwest,@SouthwestAir @SouthwestOliver that's a great FA right there.,0,
2728,negative,Southwest,"@SouthwestAir Completely understand Act of God weather-reLate Flightd Cancelled Flightlation, but 4 days without reimbursement of any kind is #unacceptable",0,Eastern Time (US & Canada)
6362,positive,United,@united Worked like a charm. Bag was waiting on the carousel when we got to baggage claim. #welldone #goodflight #friendlysky,0,Mountain Time (US & Canada)
8138,positive,American,@AmericanAir thanks so much!,0,Mountain Time (US & Canada)
